Pasteuria dose (spores/mL),Metschnikowia dose (spores/mL),Replicate,Exposure date,Mortality date,Spore count date,Pasteuria spore count 1,Pasteuria spore count 2,Pasteuria spore count 3,Avg Pasteuria spore load at death (spores/mL),Metschnikowia spore count 1,Metschnikowia spore count 2,Metschnikowia spore count 3,Avg Metsch spore load at death (spores/mL),Condition of cadaver (1-3) ,Comments,Column1
0,5,A,1/23/2018,2/5/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,B,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,143,145,101,1296667,,,
0,5,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,69,62,53,613333,,,
0,5,D,1/23/2018,2/13/2018,7/25/2018,0,0,0,0,0,0,0,0,,,
0,5,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,A,1/23/2018,2/5/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,84,77,105,886667,,,
0,50,C,1/23/2018,2/12/2018,11/26/2018,0,0,0,0,112,96,116,1080000,,,
0,50,D,1/23/2018,2/16/2018,11/12/2018,0,0,0,0,0,0,0,0,,,
0,50,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,A,1/23/2018,2/3/2018,3/28/2018,0,NA,NA,0,23,NA,NA,230000,,only 1 count bc the majority of sample was lost due to pipetting error,
0,250,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,53,58,54,550000,,,
0,250,C,1/23/2018,2/10/2018,11/12/2018,0,0,0,0,1,2,9,40000,,,
0,250,D,1/23/2018,2/16/2018,11/27/2018,0,0,0,0,0,0,0,0,,,
0,250,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,500,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,14,6,15,116667,,,
0,500,B,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,58,52,53,543333,,,
0,500,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,62,67,57,620000,,,
0,500,D,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,158,133,106,1323333,,,
0,500,E,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,80,85,61,753333,,,
0,500,F,1/23/2018,2/10/2018,7/27/2018,0,0,0,0,121,117,168,1353333,,,
0,500,G,1/23/2018,2/10/2018,7/27/2018,0,0,0,0,147,119,132,1326667,,,
0,500,H,1/23/2018,2/10/2018,11/15/2018,0,0,0,0,92,103,100,983333,,,
0,500,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,500,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,A,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,57,65,77,663333,,,
0,1000,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,51,55,93,663333,,,
0,1000,C,1/23/2018,2/9/2018,5/4/2018,0,0,0,0,59,58,67,613333,,,
0,1000,D,1/23/2018,2/9/2018,11/12/2018,0,0,0,0,84,73,112,896667,,,
0,1000,E,1/23/2018,2/23/2018,12/3/2018,0,0,0,0,0,0,0,0,,,
0,1000,F,1/23/2018,2/23/2018,12/13/2018,0,0,0,0,0,0,0,0,,,
0,1000,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,J,1/23/2018,2/27/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
0,2000,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,24,33,22,263333,,,
0,2000,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,51,65,101,723333,,,
0,2000,C,1/23/2018,2/8/2018,4/27/2018,0,0,0,0,94,87,80,870000,,,
0,2000,D,1/23/2018,2/8/2018,4/27/2018,0,0,0,0,94,76,76,820000,,,
0,2000,E,1/23/2018,2/9/2018,7/18/2018,0,0,0,0,70,44,77,636667,,,
