"","P","M","Replicate","m_meanleng","m_sdleng","p_meanleng","p_sdleng","Exposure date","Mortality date","Spore count date","Pasteuria spore count 1","Pasteuria spore count 2","Pasteuria spore count 3","Avg Pasteuria spore load at death (spores/mL)","Metschnikowia spore count 1","Metschnikowia spore count 2","Metschnikowia spore count 3","Avg Metsch spore load at death (spores/mL)","Comments","lifespan.day"
"1",0,1000,"A",56.7731504251807,4.4679327712118,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,57,"65","77",663333.333333333,"0",19
"2",0,1000,"B",59.1161072352058,1.43392096529807,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,51,"55","93",663333.333333333,"0",20
"3",0,1000,"C",57.2022830693177,2.63755862662159,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-05-04 00:00:00,0,"0","0",0,59,"58","67",613333.333333333,"0",23
"4",0,1000,"D",57.0447022753481,4.31118855709926,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-12 05:00:00,0,"0","0",0,84,"73","112",896666.666666667,"0",23
"5",0,2000,"A",53.8057306998487,1.66312984615408,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-22 00:00:00,0,"0","0",0,24,"33","22",263333.333333333,"0",16
"6",0,2000,"B",57.8061919673008,2.5525364576177,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-03-29 00:00:00,0,"0","0",0,51,"65","101",723333.333333333,"0",19
"7",0,2000,"C",57.3462606381332,4.98254744114866,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-27 00:00:00,0,"0","0",0,94,"87","80",870000,"0",22
"8",0,2000,"D",58.2439364907616,1.98917794599374,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-27 00:00:00,0,"0","0",0,94,"76","76",820000,"0",22
"9",0,2000,"E",54.5418219096738,3.83731673613427,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-07-18 00:00:00,0,"0","0",0,70,"44","77",636666.666666667,"0",23
"10",0,250,"A",54.8857420515543,5.40748669160923,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"NA","NA",0,23,"NA","NA",230000,"only 1 count bc the majority of sample was lost due to pipetting error",17
"11",0,5,"B",53.9196943340249,1.22854912623573,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,143,"145","101",1296666.66666667,"0",22
"12",0,5,"C",60.9270484159902,1.80622919786618,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,69,"62","53",613333.333333333,"0",22
"13",0,50,"B",58.1762785515358,3.22468505395439,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,84,"77","105",886666.666666667,"0",20
"14",0,50,"C",57.7105233545618,2.51982516079889,0,0,2018-01-23 05:00:00,2018-02-12 05:00:00,2018-11-26 05:00:00,0,"0","0",0,112,"96","116",1080000,"0",26
"15",0,500,"A",49.4903083380808,6.92059106356592,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-22 00:00:00,0,"0","0",0,14,"6","15",116666.666666667,"0",16
"16",0,500,"B",55.1298322782418,3.78436069662173,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,58,"52","53",543333.333333333,"0",17
"17",0,500,"C",60.193007352205,5.50334767972986,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,62,"67","57",620000,"0",22
"18",0,500,"D",57.2859985900886,2.64150050789159,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-29 05:00:00,0,"0","0",0,158,"133","106",1323333.33333333,"0",23
"19",0,500,"E",57.1250645254146,2.64889957633179,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-11-29 05:00:00,0,"0","0",0,80,"85","61",753333.333333333,"0",23
"20",0,500,"F",58.8554591065593,3.0102960823524,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-07-17 00:00:00,0,"0","0",0,121,"117","168",1353333.33333333,"0",24
"21",0,500,"G",59.0716255880586,2.95019295453122,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-07-17 00:00:00,0,"0","0",0,147,"119","132",1326666.66666667,"0",24
"22",0,500,"H",59.3951683679038,1.45720519730553,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-15 05:00:00,0,"0","0",0,92,"103","100",983333.333333333,"0",24
"23",1000,0,"A",0,0,5.35223720099714,0.227563376531936,2018-01-23 05:00:00,2018-03-06 05:00:00,2018-11-30 05:00:00,6,"12","16",113333.333333333,0,"0","0",0,"0",47.4375
"24",1000,0,"B",0,0,5.84374697995057,0.456126277885174,2018-01-23 05:00:00,2018-03-01 05:00:00,2018-12-06 05:00:00,10,"12","10",106666.666666667,0,"0","0",0,"0",42.4375
"25",1000,0,"C",0,0,5.6336264442187,0.474595359630245,2018-01-23 05:00:00,2018-02-19 05:00:00,2018-12-06 05:00:00,405,"322","401",3760000,0,"0","0",0,"0",33
"26",1000,1000,"A",56.9407741778672,6.65984678429756,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-12 00:00:00,0,"0","0",0,63,"61","68",640000,"0",20
"27",1000,1000,"B",58.6843070152395,1.8293741769703,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-12-17 05:00:00,0,"0","0",0,84,"74","140",993333.333333333,"0",23
"28",1000,1000,"F",60.2136126795135,2.39920376966341,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-07-25 00:00:00,0,"0","0",0,115,"119","114",1160000,"0",24
"29",1000,1000,"G",0,0,5.49368699188157,0.432670785960224,2018-01-23 05:00:00,2018-02-16 05:00:00,2018-11-27 05:00:00,333,"368","305",3353333.33333333,0,"0","0",0,"0",30
"30",1000,1000,"H",59.4816825497015,1.53365714530823,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-12-18 05:00:00,0,"0","0",0,127,"85","na",1060000,"0",23
"31",1000,2000,"A",57.8387799244132,4.11061077691522,0,0,2018-01-23 05:00:00,2018-02-02 05:00:00,2018-03-28 00:00:00,0,"0","0",0,33,"44","28",350000,"0",16
"32",1000,2000,"B",58.7844573710625,2.7792583064687,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-04 00:00:00,0,"0","0",0,44,"50","50",480000,"0",19
"33",1000,2000,"C",56.6790658850196,2.55520900977047,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-04-26 00:00:00,0,"0","0",0,86,"101","89",920000,"0",22
"34",1000,2000,"D",59.5035219266101,3.59906828027329,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-07-17 00:00:00,0,"0","0",0,81,"96","81",860000,"0",24
"35",1000,2000,"E",57.1778487011639,2.10850839229086,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-29 05:00:00,0,"0","0",0,72,"65","65",673333.333333333,"0",24
"36",1000,2000,"F",57.0012617733191,3.5593715411025,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-29 05:00:00,0,"0","0",0,111,"115","104",1100000,"0",24
"37",1000,2000,"G",0,0,5.64473354860348,0.44478639621725,2018-01-23 05:00:00,2018-02-20 05:00:00,2018-12-13 05:00:00,17,"23","17",190000,0,"0","0",0,"0",34
"38",1000,250,"B",59.6008417310875,2.44367874182808,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,50,"62","62",580000,"0",20
"39",1000,250,"C",53.6998738764635,12.6397128289273,0,0,2018-01-23 05:00:00,2018-02-06 05:00:00,2018-04-11 00:00:00,0,"0","0",0,0,"3","1",13333.3333333333,"0",20
